Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Webinar,Priority of Learning,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Male,25,Whatsapp,Not at all,Laptop and Mobile,University,Connected,Day,Daily,Town,2,3,Social Media,3,Non-academic,Yes,Academic Learning,Articles or Blogs related to non-academical studies,Satisfactory,Bad Service
Male,23,Youtube,Good,Mobile,Library,Connected,Midnight,Daily,Town,4,3,Online Shopping,1,Non-academic,Yes,Communication Skills,Articles or Blogs related to non-academical studies,Satisfactory,High Price
Male,24,Youtube,Average,Laptop and Mobile,University,Connected,Midnight,Weekly,Village,3,7,Education,5,Academic,Yes,Communication Skills,Notes or lectures for academical purpose,Good,High Price
Male,23,Youtube,Good,Laptop and Mobile,Cyber Cafe,Connected,Midnight,Daily,Town,3,3,Entertainment,1,Non-academic,Yes,Non-academic Learning,Articles or Blogs related to non-academical studies,Average,Bad Service
Male,23,Google,Average,Laptop and Mobile,Home,Connected,Night,Daily,Village,5,6,Education,5,Academic,Yes,Career Opportunity,Research/Journal/Conference Papers,Good,High Price
Female,24,Facebook,Good,Laptop and Mobile,University,Connected,Night,Daily,Town,3,7,Education,5,Non-academic,No,Academic Learning,E-books or other Media files,Good,Bad Service
Male,23,Google,Not at all,Desktop,Library,Connected,Morning,Daily,Remote,3,3,Education,3,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Satisfactory,High Price
Female,25,Youtube,Good,Mobile,Library,Connected,Morning,Daily,Town,3,3,News,2,Academic,Yes,Communication Skills,Research/Journal/Conference Papers,Average,High Price
Male,23,Gmail,Good,Laptop and Mobile,Library,Not Connected,Morning,Monthly,Town,3,2,Social Media,2,Academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Average,High Price
Male,25,Google,Good,Laptop and Mobile,University,Connected,Midnight,Daily,Town,2,6,Education,3,Academic,No,Academic Learning,E-books or other Media files,Good,Bad Service
Female,23,Facebook,Average,Desktop,Cyber Cafe,Connected,Day,Daily,Town,4,1,Education,2,Non-academic,Yes,Academic Learning,Research/Journal/Conference Papers,Good,High Price
Male,23,Twitter,Good,Mobile,Others,Not Connected,Day,Daily,Village,4,4,Social Media,3,Non-academic,Yes,Communication Skills,Notes or lectures for academical purpose,Average,Unavailability
Male,23,Google,Not at all,Desktop,Cyber Cafe,Connected,Morning,Daily,Town,0,5,Education,1,Academic,Yes,Communication Skills,Articles or Blogs related to non-academical studies,Satisfactory,Unavailability
Male,23,Youtube,Very Good,Laptop and Mobile,University,Connected,Night,Weekly,Village,3,7,Online Shopping,2,Academic,No,Academic Learning,Courses Available on specific topics,Good,Bad Service
